,Year,HHI
0,1980,1908.6735548625984
1,1981,1893.0600654905456
2,1982,1596.5185123634365
3,1983,1542.5057559576558
4,1984,1517.1199148355727
5,1985,1483.8430786349218
6,1986,1338.8654218596719
7,1987,1416.7081294227933
8,1988,1453.0133012087908
9,1989,1473.650436157858
10,1990,1415.7033820245351
11,1991,1442.6500626842237
12,1992,1714.928269815481
13,1993,1712.8274722349988
14,1994,1759.7270807197854
15,1995,1765.5367837680744
16,1996,1670.3891798069915
17,1997,1502.2594133361833
18,1998,1410.4782643613291
19,1999,1365.240168170394
20,2000,1359.6698772307734
21,2001,1361.1445466441517
22,2002,1321.768874321723
23,2003,1306.3636357782582
24,2004,1219.7838542627953
25,2005,1273.2933109569256
26,2006,1251.36167665205
27,2007,1340.6548263613167
28,2008,1225.7587906536803
29,2009,1313.9754303107736
30,2010,1239.7535375517584
31,2011,1275.976213235861
32,2012,1187.9891972130647
33,2013,1244.0576939907617
34,2014,1243.5381186745763
35,2015,1412.1244660404552
36,2016,1492.6948590494794
37,2017,1424.7722828849176
38,2018,1546.6080892907135
39,2019,1611.9998563458396
