,Year,HHI
0,1980,1908.6735548625984
1,1981,1937.542351971347
2,1982,1693.6376234097709
3,1983,1649.5246298396676
4,1984,1729.3360391637666
5,1985,1672.2794734884455
6,1986,1632.808422667028
7,1987,1750.1358569374493
8,1988,1782.3035762244954
9,1989,1927.8860266665918
10,1990,1908.816384328952
11,1991,2013.2299637506092
12,1992,2593.00461336003
13,1993,2429.4910742918596
14,1994,2187.816590490652
15,1995,2409.161079637619
16,1996,2299.515633750812
17,1997,2187.4089725362364
18,1998,1953.0075098943898
19,1999,1820.4424878146447
20,2000,1813.3798818211208
21,2001,1648.1233277594615
22,2002,1709.309217887843
23,2003,1643.7203086563325
24,2004,1577.1885976713877
25,2005,1535.1798940347967
26,2006,1755.8756967322004
27,2007,1757.06069417866
28,2008,1525.5506899402826
29,2009,1634.209823424491
30,2010,1570.0011968542374
31,2011,1559.0685552669233
32,2012,1659.7081551744307
33,2013,1658.1364692388129
34,2014,1586.742393893308
35,2015,1788.2548500033201
36,2016,2005.2255449820013
37,2017,1899.4676448657203
38,2018,2117.8359504530913
39,2019,2317.712623235804
