,Year,HHI
0,1980,1908.6735548625984
1,1981,1982.0343137047314
2,1982,1733.9572007467596
3,1983,1684.8905806561056
4,1984,1603.497495854575
5,1985,1609.1246111343723
6,1986,1606.792525129163
7,1987,1665.0276231179569
8,1988,1835.88029075046
9,1989,2018.8965369506554
10,1990,1876.9136259694585
11,1991,1780.9471086510591
12,1992,2237.481902623542
13,1993,2288.2846132405575
14,1994,2530.5559473711364
15,1995,2453.7433911172425
16,1996,2167.0904207764033
17,1997,1894.0724268662525
18,1998,1772.096701805127
19,1999,1918.6671639670312
20,2000,1951.8874773918456
21,2001,1977.232261448922
22,2002,1656.6428740724396
23,2003,1742.54850083635
24,2004,1627.0072533409643
25,2005,1683.4693630716824
26,2006,1614.087195972025
27,2007,1666.8187405419608
28,2008,1535.1045356250163
29,2009,1545.0606263363
30,2010,1464.5598850138756
31,2011,1558.6655617810004
32,2012,1545.1513311696149
33,2013,1734.8544569951457
34,2014,1608.7562462038995
35,2015,2211.7067381627426
36,2016,2111.7526754895403
37,2017,2029.120724947386
38,2018,2357.8350752385827
39,2019,2473.308326615446
