,Year,HHI
0,1980,1908.6735548625988
1,1981,1971.3988634895954
2,1982,1662.6679087142838
3,1983,1653.8500821165503
4,1984,1720.1853621015798
5,1985,1627.033947618657
6,1986,1582.2235513933642
7,1987,1871.3531224796652
8,1988,1958.3249230225679
9,1989,2035.9595059159763
10,1990,1881.2125030834195
11,1991,1930.4648585707257
12,1992,2592.7625330046385
13,1993,2632.6192880572235
14,1994,2840.3317998187063
15,1995,2940.390101852287
16,1996,2773.560679884656
17,1997,2112.9459617345974
18,1998,2176.072580809376
19,1999,2143.4508907516006
20,2000,2019.8021662889414
21,2001,2091.7651220340454
22,2002,2132.152627347824
23,2003,2228.0734927297476
24,2004,1978.9242954428926
25,2005,1905.3352768554316
26,2006,1795.248690829059
27,2007,2024.2207539554565
28,2008,1768.4299901671677
29,2009,1883.5871846411817
30,2010,1711.4641732741534
31,2011,1794.2709107657286
32,2012,1647.8612871502955
33,2013,1801.9200329787295
34,2014,1781.1462030264734
35,2015,2005.3911977316204
36,2016,2297.619844347458
37,2017,2270.896906808645
38,2018,2492.5596394593804
39,2019,2619.776141577997
