,Unnamed: 0,Rank,Movie,Studio,Total Gross,All Theaters,Opening Total,Opening Theaters,Open Date,Close Date,Year
0,0,5,Any Which Way You Can,WB,70687344.00,,"$8,024,663 ",1541,17-Dec,0,1980
1,1,6,Private Benjamin,WB,69847348.00,,"$4,739,769 ",763,10-Oct,0,1980
2,2,7,Coal Miner's Daughter,Uni.,67182787.00,,"$3,366,443 ",437,7-Mar,0,1980
3,3,8,Smokey and the Bandit II,Uni.,66132626.00,,"$10,883,835 ",1196,15-Aug,0,1980
4,4,9,The Blue Lagoon,Col.,58853106.00,,,,20-Jun,0,1980
5,5,10,The Blues Brothers,Uni.,57229890.00,,"$4,858,152 ",594,20-Jun,0,1980
6,6,11,Ordinary People,Par.,54766923.00,,"$170,335 ",6,19-Sep,0,1980
7,7,12,Popeye,Par.,49823037.00,901,"$6,310,520 ",901,12-Dec,0,1980
8,8,13,Urban Cowboy,Par.,46918287.00,,,,6-Jun,0,1980
9,9,14,The Shining,WB,44017374.00,,"$622,337 ",10,23-May,0,1980
10,10,15,Seems Like Old Times,Col.,43995918.00,,,,19-Dec,0,1980
11,11,16,Cheech & Chong's Next Movie,Uni.,41675194.00,,"$5,262,963 ",814,18-Jul,0,1980
12,12,17,Caddyshack,WB,39846344.00,,"$3,142,689 ",656,25-Jul,0,1980
13,13,18,Friday the 13th (1980),Par.,39754601.00,,"$5,816,321 ",1100,9-May,0,1980
14,14,19,Brubaker,Fox,37121708.00,,"$2,748,079 ",594,20-Jun,0,1980
15,15,20,Little Darlings,Par.,34326249.00,,,,21-Mar,0,1980
16,16,21,Dressed to Kill,Orion,31899000.00,,,,23-Jun,0,1980
17,17,22,The Jazz Singer,Uni.,27118000.00,,,,19-Dec,0,1980
18,18,23,Flash Gordon,Uni.,27107960.00,,"$3,934,030 ",823,5-Dec,0,1980
19,19,24,Lady and the Tramp (Re-issue) (1980),BV,26114207.00,,,,7-Mar,0,1980
20,20,25,The Elephant Man,Par.,26010864.00,,,,3-Oct,0,1980
21,21,26,Bronco Billy,WB,24265659.00,,"$3,708,710 ",1321,11-Jun,0,1980
