,Year,HHI
0,1980,1908.6735548625984
1,1981,1931.1217509171445
2,1982,1672.7956846071793
3,1983,1667.9708117230596
4,1984,1681.69572644369
5,1985,1557.2741889688282
6,1986,1504.961404980082
7,1987,1722.295630241565
8,1988,1884.5722555951493
9,1989,1684.0666059215291
10,1990,1834.1352623442638
11,1991,1836.6995811538845
12,1992,2254.199387192717
13,1993,2236.3977844232054
14,1994,2182.8399613761317
15,1995,2117.428200956518
16,1996,2238.4605729437785
17,1997,2040.478156837513
18,1998,1893.9489676980838
19,1999,1848.7360182498655
20,2000,1893.9089872672705
21,2001,1719.7672817273328
22,2002,1780.5617176045678
23,2003,1670.6360548396517
24,2004,1610.7539901045645
25,2005,1733.98220056821
26,2006,1817.4108719241901
27,2007,1810.19021458652
28,2008,1604.5742940127839
29,2009,1774.601607845701
30,2010,1646.5820357820828
31,2011,1537.3698978716352
32,2012,1480.6015689665048
33,2013,1620.1150251882302
34,2014,1705.5722107160332
35,2015,2065.1281105924404
36,2016,2267.6075853988636
37,2017,2054.468293686902
38,2018,2115.3705884908336
39,2019,1945.5602363288162
