,Year,HHI
0,1980,1889.4260109572724
1,1981,1893.060065490546
2,1982,1508.4366711759099
3,1983,1487.6309749676732
4,1984,1293.0729542335146
5,1985,1075.0193792148855
6,1986,1058.7785591236793
7,1987,1169.0680087472017
8,1988,1148.0206613716782
9,1989,1215.4961946460726
10,1990,1087.5174701407084
11,1991,1108.9638700890846
12,1992,1321.290742831401
13,1993,1307.5538494452528
14,1994,1257.4700490705277
15,1995,1364.4985739881636
16,1996,1230.1005562164896
17,1997,1168.9649413849083
18,1998,1014.4877836254718
19,1999,1028.2519600024018
20,2000,1010.3816697143084
21,2001,925.7706656406317
22,2002,870.17240227474
23,2003,850.7633136955335
24,2004,806.3436148035644
25,2005,910.3806873896079
26,2006,995.9015095554721
27,2007,984.582470921843
28,2008,966.6467261139077
29,2009,1114.6596937995816
30,2010,1037.1412573064988
31,2011,1101.3005336007643
32,2012,968.991521077572
33,2013,1072.3908540687003
34,2014,1101.9076206472012
35,2015,1286.241341807226
36,2016,1405.8761663847297
37,2017,1319.7318669796966
38,2018,1443.3457143755616
39,2019,1509.094442853784
