,Year,HHI
0,1980,1889.4260109572724
1,1981,1893.060065490546
2,1982,1508.4366711759099
3,1983,1487.6309749676732
4,1984,1293.0729542335146
5,1985,1075.0193792148855
6,1986,1058.7785591236793
7,1987,1169.0680087472017
8,1988,1148.0206613716782
9,1989,1215.4961946460726
10,1990,1087.5174701407084
11,1991,1108.9638700890846
12,1992,1323.0498488172086
13,1993,1307.5538494452528
14,1994,1257.8083213474324
15,1995,1372.8616481666331
16,1996,1243.062438727455
17,1997,1194.2174999034123
18,1998,1043.7240311238602
19,1999,1055.9525029472347
20,2000,1044.2513325753716
21,2001,949.5508343295066
22,2002,912.706853468523
23,2003,884.5125886720216
24,2004,851.3976066903776
25,2005,1003.9929480338399
26,2006,1086.3651462373498
27,2007,1074.1394411023175
28,2008,1046.618694062838
29,2009,1197.2694662646647
30,2010,1094.6676792803512
31,2011,1149.2784298982006
32,2012,1010.6708513259792
33,2013,1102.1394001931276
34,2014,1157.8958301390226
35,2015,1337.414635771693
36,2016,1425.898114602226
37,2017,1356.7227537073209
38,2018,1473.8746622921487
39,2019,1521.897189777237
