Original_Studio,gross_sum,New_Studio,Manual_Check,Same_Name
Walt Disney Studios Motion Pictures,45778470596,Walt Disney Studios Motion Pictures,1,Walt Disney Studios Motion Pictures
Warner Bros.,43954693128,Warner Bros.,1,Warner Bros.
Universal Pictures,34479316617,Universal Pictures,1,Universal Pictures
Twentieth Century Fox,32106528308,Walt Disney Studios Motion Pictures,1,Twentieth Century Fox
Paramount Pictures,27231818074,ViacomCBS,1,Paramount Pictures
Sony Pictures Releasing,22547922281,Sony Pictures Releasing,1,Sony Pictures Releasing
Lionsgate,9423057433,Lionsgate,1,Lionsgate
New Line Cinema,7356654020,Warner Bros.,1,New Line Cinema
Metro-Goldwyn-Mayer (MGM),5678199188,Metro-Goldwyn-Mayer (MGM),1,Metro-Goldwyn-Mayer (MGM)
Columbia Pictures,4744325591,Sony Pictures Releasing,1,Columbia Pictures
DreamWorks,4729946947,DreamWorks,1,DreamWorks
Miramax,4354367532,Walt Disney Studios Motion Pictures,1,Miramax
DreamWorks Distribution,4283454047,DreamWorks,1,DreamWorks Distribution
TriStar Pictures,4078551654,Sony Pictures Releasing,1,TriStar Pictures
Screen Gems,2863682091,Sony Pictures Releasing,1,Screen Gems
Fox Searchlight Pictures,2676584930,Walt Disney Studios Motion Pictures,1,Twentieth Century Fox
Focus Features,2215579984,Universal Pictures,1,Focus Features
Orion Pictures,2191228596,Metro-Goldwyn-Mayer (MGM),1,Orion Pictures
Revolution Studios,2031089199,Revolution Studios,1,Revolution Studios
The Weinstein Company,1922850991,The Weinstein Company,1,The Weinstein Company
-,1808638222,,1,-
Summit Entertainment,1662296365,Lionsgate,1,Summit Entertainment
Sony Pictures Classics,1175339163,Sony Pictures Releasing,1,Sony Pictures Releasing
STX Entertainment,1063138459,STX Entertainment,1,STX Entertainment
United Artists,1050235293,Metro-Goldwyn-Mayer (MGM),1,United Artists
Dimension Films,1041617563,Lantern Entertainment,1,Dimension Films
Relativity Media,958089408,Relativity Media,1,Relativity Media
Open Road Films (II),758954427,Open Road Films (II),1,Open Road Films (II)
Roadside Attractions,487017929,Lionsgate,1,Roadside Attractions
Newmarket Films,472320366,Newmarket Films,1,Newmarket Films
A24,452194041,A24,1,A24
IFC Films,448956095,IFC Films,1,IFC Films
FilmDistrict,415995770,Universal Pictures,1,FilmDistrict
Gramercy Pictures (I),405527536,Universal Pictures,1,Gramercy Pictures (I)
IMAX,393039698,IMAX,1,IMAX
Artisan Entertainment,383135961,Lionsgate,1,Artisan Entertainment
The Samuel Goldwyn Company,367681046,The Samuel Goldwyn Company,1,The Samuel Goldwyn Company
Cannon Film Distributors,359665399,Cannon Film Distributors,1,Cannon Film Distributors
Overture Films,342698837,Overture Films,1,Overture Films
