Original_Studio,gross_sum,New_Studio,Manual_Check,Same_Name,Disney_Fox,Disney_Sony,Disney_Universal,Disney_Warner
Walt Disney Studios Motion Pictures,45778470596,Walt Disney Studios Motion Pictures,1,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
Warner Bros.,43954693128,Warner Bros.,1,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,Walt Disney Studios Motion Pictures
Universal Pictures,34479316617,Universal Pictures,1,Universal Pictures,Universal Pictures,Universal Pictures,Walt Disney Studios Motion Pictures,Universal Pictures
Twentieth Century Fox,32106528308,Walt Disney Studios Motion Pictures,1,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox
Paramount Pictures,27231818074,ViacomCBS,1,Paramount Pictures,ViacomCBS,ViacomCBS,ViacomCBS,ViacomCBS
Sony Pictures Releasing,22547922281,Sony Pictures Releasing,1,Sony Pictures Releasing,Sony Pictures Releasing,Walt Disney Studios Motion Pictures,Sony Pictures Releasing,Sony Pictures Releasing
Lionsgate,9423057433,Lionsgate,1,Lionsgate,Lionsgate,Lionsgate,Lionsgate,Lionsgate
New Line Cinema,7356654020,Warner Bros.,1,New Line Cinema,Warner Bros.,Warner Bros.,Warner Bros.,Walt Disney Studios Motion Pictures
Metro-Goldwyn-Mayer (MGM),5678199188,Metro-Goldwyn-Mayer (MGM),1,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM)
Columbia Pictures,4744325591,Sony Pictures Releasing,1,Columbia Pictures,Sony Pictures Releasing,Walt Disney Studios Motion Pictures,Sony Pictures Releasing,Sony Pictures Releasing
DreamWorks,4729946947,DreamWorks,1,DreamWorks,DreamWorks,DreamWorks,DreamWorks,DreamWorks
Miramax,4354367532,Walt Disney Studios Motion Pictures,1,Miramax,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
DreamWorks Distribution,4283454047,DreamWorks,1,DreamWorks Distribution,DreamWorks,DreamWorks,DreamWorks,DreamWorks
TriStar Pictures,4078551654,Sony Pictures Releasing,1,TriStar Pictures,Sony Pictures Releasing,Walt Disney Studios Motion Pictures,Sony Pictures Releasing,Sony Pictures Releasing
Screen Gems,2863682091,Sony Pictures Releasing,1,Screen Gems,Sony Pictures Releasing,Walt Disney Studios Motion Pictures,Sony Pictures Releasing,Sony Pictures Releasing
Fox Searchlight Pictures,2676584930,Walt Disney Studios Motion Pictures,1,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox
Focus Features,2215579984,Universal Pictures,1,Focus Features,Universal Pictures,Universal Pictures,Walt Disney Studios Motion Pictures,Universal Pictures
Orion Pictures,2191228596,Metro-Goldwyn-Mayer (MGM),1,Orion Pictures,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM)
Revolution Studios,2031089199,Revolution Studios,1,Revolution Studios,Revolution Studios,Revolution Studios,Revolution Studios,Revolution Studios
The Weinstein Company,1922850991,The Weinstein Company,1,The Weinstein Company,The Weinstein Company,The Weinstein Company,The Weinstein Company,The Weinstein Company
-,1808638222,,1,-,-,-,-,-
Summit Entertainment,1662296365,Lionsgate,1,Summit Entertainment,Lionsgate,Lionsgate,Lionsgate,Lionsgate
Sony Pictures Classics,1175339163,Sony Pictures Releasing,1,Sony Pictures Releasing,Sony Pictures Releasing,Walt Disney Studios Motion Pictures,Sony Pictures Releasing,Sony Pictures Releasing
STX Entertainment,1063138459,STX Entertainment,1,STX Entertainment,STX Entertainment,STX Entertainment,STX Entertainment,STX Entertainment
