Rank,Abbrev,Studio
1,WB,Warner Bros.
2,Uni.,Universal
3,Fox,20th Century Fox
4,BV,Buena Vista
5,Sony,Sony / Columbia
6,Par.,Paramount
7,WB (NL),Warner Bros.
8,LGF,Lionsgate
9,NL,New Line
10,P/DW,Paramount
11,DW,Dreamworks SKG
12,Mira.,Miramax
13,SGem,Sony / Columbia
14,FoxS,20th Century Fox
15,MGM,MGM/UA
16,SonR,Sony / Columbia
17,Wein.,Weinstein Company
18,Focus,Focus Features
19,LG/S,Lionsgate
20,TriS,Sony / Columbia
21,SPC,Sony Classics
22,Lions,LionsGate
23,Rela.,Relativity
24,Sum.,Summit Entertainment
25,Dim.,Dimension Films
26,ORF,Open Road Films
27,W/Dim.,Weinstein Company
28,MGM/W,MGM/UA
29,FD,Film District
30,IFC,IFC
31,Art.,Artisan
32,USA,USA Films
33,Over.,Overturn Films
34,RAtt.,Roadside Attractions
35,CBS,CBS Films
36,Imax,IMAX
37,ParV,Paramount
38,Rog.,Rogue Pictures
39,STX,STX Entertainment
40,UA,MGM/UA
41,A24,A24
42,WIP,Warner Bros.
43,Free,Freestyle Releasing
44,Eros,Eros
45,ParC,Paramount
46,PicH,Picturehouse
47,Magn.,Magnolia
48,NM,Newmarket
50,UTV,UTV Communications
51,IDP,IDP
52,FoxA,20th Century Fox
53,BG,Broad Green Pictures
55,Dest.,Destination
56,RM,Rocky Mountain Pictures
57,MBox,Music Box Films
59,BST,Bleecker Street
61,YFG,Yari Film Group
62,Yash,Yash Raj
63,PFR,Pure Flix
65,EC,EuropaCorp
71,Relbig.,Reliance Big Pictures
74,BH Tilt,BH Tilt
76,FIP,FIP
80,Cohen,Cohen Media Group
82,WGUSA,Well Go USA
