Rank,Abbrev,Studio
3,Fox,Buena Vista
14,FoxS,Buena Vista
52,FoxA,Buena Vista
41,A24,A24
31,Art.,Artisan
74,BH Tilt,BH Tilt
59,BST,Bleecker Street
53,BG,Broad Green Pictures
4,BV,Buena Vista
35,CBS,CBS Films
80,Cohen,Cohen Media Group
55,Dest.,Destination
25,Dim.,Dimension Films
11,DW,Dreamworks SKG
44,Eros,Eros
65,EC,EuropaCorp
29,FD,Film District
76,FIP,FIP
18,Focus,Focus Features
43,Free,Freestyle Releasing
51,IDP,IDP
30,IFC,IFC
36,Imax,IMAX
8,LGF,Lionsgate
19,LG/S,Lionsgate
22,Lions,LionsGate
47,Magn.,Magnolia
15,MGM,MGM/UA
28,MGM/W,MGM/UA
40,UA,MGM/UA
12,Mira.,Miramax
57,MBox,Music Box Films
9,NL,New Line
48,NM,Newmarket
26,ORF,Open Road Films
33,Over.,Overturn Films
6,Par.,Paramount
10,P/DW,Paramount
37,ParV,Paramount
45,ParC,Paramount
46,PicH,Picturehouse
63,PFR,Pure Flix
23,Rela.,Relativity
71,Relbig.,Reliance Big Pictures
34,RAtt.,Roadside Attractions
56,RM,Rocky Mountain Pictures
38,Rog.,Rogue Pictures
5,Sony,Sony / Columbia
13,SGem,Sony / Columbia
16,SonR,Sony / Columbia
20,TriS,Sony / Columbia
21,SPC,Sony Classics
39,STX,STX Entertainment
24,Sum.,Summit Entertainment
2,Uni.,Universal
32,USA,USA Films
50,UTV,UTV Communications
1,WB,Warner Bros.
7,WB (NL),Warner Bros.
42,WIP,Warner Bros.
17,Wein.,Weinstein Company
27,W/Dim.,Weinstein Company
82,WGUSA,Well Go USA
61,YFG,Yari Film Group
62,Yash,Yash Raj
